,Shape,Price,Carat,CutGrade,Color,Clarity,report
0,Cushion,"$3,160",1.57,Very Good,F,VS1,GIA
1,Cushion,"$2,820",1.51,Very Good,G,VS1,GIA
2,Cushion,"$3,830",1.58,Very Good,E,VVS2,GIA
3,Cushion,"$2,800",1.64,Very Good,G,VS2,GIA
4,Cushion,"$3,380",1.55,Very Good,F,VVS2,GIA
5,Cushion,"$6,680",3.00,Very Good,H,VS2,GIA
6,Cushion,"$4,430",1.61,Very Good,D,VVS2,GIA
7,Cushion,"$3,420",1.77,Very Good,F,VS2,GIA
8,Cushion,"$3,570",1.63,Very Good,E,VS1,GIA
9,Cushion,"$3,530",2.01,Very Good,H,VS1,GIA
10,Cushion,"$5,660",1.82,Very Good,E,VVS1,GIA
11,Cushion,"$2,870",1.52,Very Good,E,VS2,GIA
12,Cushion,"$5,610",2.03,Very Good,D,VS1,GIA
13,Cushion,"$4,810",1.92,Very Good,G,VVS2,GIA
14,Cushion,"$8,240",3.03,Very Good,H,VVS2,GIA
15,Cushion,"$4,100",1.78,Very Good,D,VS2,GIA
16,Cushion,"$6,960",3.04,Very Good,G,SI1,GIA
17,Cushion,"$2,350",1.50,Very Good,H,SI1,GIA
18,Cushion,"$5,410",2.81,Very Good,I,VVS2,GIA
19,Cushion,"$2,560",1.56,Very Good,F,SI1,GIA
20,Cushion,"$4,120",2.01,Very Good,E,SI1,GIA
21,Cushion,"$2,000",1.51,Very Good,H,SI2,GIA
22,Cushion,"$2,110",1.01,Very Good,D,VVS2,GIA
23,Cushion,"$2,280",1.25,Very Good,E,VVS2,GIA
24,Cushion,"$2,570",1.50,Very Good,H,VS1,GIA
25,Cushion,"$2,760",1.52,Very Good,F,VS2,GIA
26,Cushion,"$2,820",1.54,Very Good,F,VS2,GIA
27,Cushion,"$3,090",1.64,Very Good,G,VS1,GIA
28,Cushion,"$3,140",1.56,Very Good,F,VS1,GIA
29,Cushion,"$3,210",1.60,Very Good,F,VS1,GIA
30,Cushion,"$3,270",1.63,Very Good,F,VS1,GIA
31,Cushion,"$3,300",1.51,Very Good,F,VVS2,GIA
32,Cushion,"$3,330",1.81,Very Good,H,VVS2,GIA
33,Cushion,"$3,340",1.54,Very Good,E,VS1,GIA
34,Cushion,"$3,390",1.56,Very Good,E,VS1,GIA
35,Cushion,"$3,420",2.03,Very Good,H,SI1,GIA
36,Cushion,"$3,430",1.58,Very Good,E,VS1,GIA
37,Cushion,"$3,550",2.02,Very Good,H,VS1,GIA
38,Cushion,"$3,630",1.90,Very Good,E,SI1,GIA
39,Cushion,"$3,670",1.80,Very Good,G,VS1,GIA
40,Cushion,"$3,720",1.70,Very Good,F,VS1,GIA
41,Cushion,"$3,740",1.71,Very Good,F,VS1,GIA
42,Cushion,"$3,820",1.81,Very Good,E,VS2,GIA
43,Cushion,"$3,870",1.77,Very Good,F,VS1,GIA
44,Cushion,"$3,920",1.86,Very Good,E,VS2,GIA
45,Cushion,"$3,940",1.93,Very Good,G,VS1,GIA
46,Cushion,"$3,960",1.81,Very Good,F,VS1,GIA
47,Cushion,"$3,980",1.64,Very Good,E,VVS2,GIA
48,Cushion,"$3,980",1.64,Very Good,E,VVS2,GIA
49,Cushion,"$4,010",1.65,Very Good,E,VVS2,GIA
50,Cushion,"$4,030",1.84,Very Good,F,VS1,GIA
51,Cushion,"$4,070",1.86,Very Good,F,VS1,GIA
52,Cushion,"$4,130",1.50,Very Good,D,VVS2,GIA
53,Cushion,"$4,160",1.51,Very Good,D,VVS2,GIA
54,Cushion,"$4,170",1.75,Very Good,F,VVS2,GIA
55,Cushion,"$4,180",1.52,Very Good,D,VVS2,GIA
56,Cushion,"$4,190",1.76,Very Good,F,VVS2,GIA
57,Cushion,"$4,210",1.77,Very Good,F,VVS2,GIA
58,Cushion,"$4,240",1.54,Very Good,D,VVS2,GIA
59,Cushion,"$4,290",2.07,Very Good,G,VS2,GIA
60,Cushion,"$4,330",2.10,Very Good,D,SI1,GIA
61,Cushion,"$4,350",1.99,Very Good,F,VS1,GIA
62,Cushion,"$4,360",2.02,Very Good,G,VS1,GIA
63,Cushion,"$4,360",2.02,Very Good,G,VS1,GIA
64,Cushion,"$4,480",1.74,Very Good,D,VS1,GIA
65,Cushion,"$4,500",2.01,Very Good,E,VS2,GIA
66,Cushion,"$4,530",2.10,Very Good,G,VS1,GIA
67,Cushion,"$4,800",1.98,Very Good,E,VS1,GIA
68,Cushion,"$4,830",2.09,Very Good,G,VVS2,GIA
69,Cushion,"$4,840",2.05,Very Good,F,VS1,GIA
70,Cushion,"$4,860",2.25,Very Good,G,VS1,GIA
71,Cushion,"$4,860",2.12,Very Good,E,VS2,GIA
72,Cushion,"$4,980",2.11,Very Good,F,VS1,GIA
73,Cushion,"$4,980",2.11,Very Good,F,VS1,GIA
74,Cushion,"$4,990",2.01,Very Good,D,VS2,GIA
75,Cushion,"$5,000",2.12,Very Good,F,VS1,GIA
76,Cushion,"$5,040",2.03,Very Good,D,VS2,GIA
77,Cushion,"$5,230",2.02,Very Good,E,VS1,GIA
78,Cushion,"$5,290",1.70,Very Good,D,VVS2,GIA
79,Cushion,"$5,350",1.72,Very Good,D,VVS2,GIA
80,Cushion,"$5,360",2.07,Very Good,E,VS1,GIA
81,Cushion,"$5,440",2.01,Very Good,F,VVS2,GIA
82,Cushion,"$5,460",2.11,Very Good,E,VS1,GIA
83,Cushion,"$5,470",2.02,Very Good,F,VVS2,GIA
84,Cushion,"$5,490",2.03,Very Good,F,VVS2,GIA
85,Cushion,"$5,500",1.77,Very Good,D,VVS2,GIA
86,Cushion,"$5,520",2.04,Very Good,F,VVS2,GIA
87,Cushion,"$5,560",2.01,Very Good,D,VS1,GIA
88,Cushion,"$5,600",2.07,Very Good,F,VVS2,GIA
89,Cushion,"$5,710",2.05,Very Good,E,VVS2,GIA
90,Cushion,"$5,860",2.12,Very Good,D,VS1,GIA
91,Cushion,"$6,240",2.24,Very Good,E,VVS2,GIA
92,Cushion,"$6,340",2.00,Very Good,D,VVS2,GIA
93,Cushion,"$6,410",2.39,Very Good,E,VS1,GIA
94,Cushion,"$6,510",2.35,Very Good,D,VS2,GIA
95,Cushion,"$6,530",2.06,Very Good,D,VVS2,GIA
96,Cushion,"$6,560",2.07,Very Good,D,VVS2,GIA
97,Cushion,"$6,680",2.33,Very Good,D,VS2,GIA
