,Shape,Price,Carat,CutGrade,Color,Clarity,report
0,Emerald,"$3,300",1.62,Very Good,F,VS1,GIA
1,Emerald,"$1,730",1.28,Very Good,G,VS2,GIA
2,Emerald,"$1,300",0.97,Very Good,F,VVS2,GIA
3,Emerald,"$1,280",0.96,Very Good,E,VS1,GIA
4,Emerald,"$12,320",2.50,Very Good,D,VVS1,GIA
5,Emerald,"$7,470",3.03,Very Good,H,VS1,GIA
6,Emerald,"$13,310",3.00,Very Good,E,VVS1,GIA
7,Emerald,"$1,570",1.00,Very Good,E,VS2,GIA
8,Emerald,"$5,990",2.03,Very Good,D,VS1,GIA
9,Emerald,"$2,540",1.71,Very Good,I,VS1,GIA
10,Emerald,"$1,120",0.99,Very Good,F,SI1,GIA
11,Emerald,"$1,130",0.96,Very Good,E,SI1,GIA
12,Emerald,"$1,570",1.00,Very Good,E,VS2,GIA
13,Emerald,"$2,550",1.52,Very Good,E,SI1,GIA
14,Emerald,"$2,950",1.56,Very Good,E,VS2,GIA
15,Emerald,"$3,320",1.51,Very Good,D,VS2,GIA
16,Emerald,"$3,660",1.65,Very Good,E,VS1,GIA
17,Emerald,"$4,130",2.00,Very Good,D,SI1,GIA
18,Emerald,"$8,330",3.00,Very Good,G,VS2,GIA
19,Emerald,"$8,720",2.98,Very Good,F,VS1,GIA
20,Emerald,"$9,610",3.10,Very Good,F,VS2,GIA
21,Emerald,"$10,710",3.01,Very Good,F,VS1,GIA
22,Emerald,"$11,450",3.02,Very Good,E,VS1,GIA
23,Emerald,"$14,040",3.27,Very Good,E,VVS2,GIA
24,Emerald,"$17,290",3.68,Very Good,E,VVS2,GIA
