,Shape,Price,Carat,CutGrade,Color,Clarity,report
0,Oval,"$5,250",2.25,Very Good,F,VS1,GIA
1,Oval,"$4,320",2.00,Very Good,G,VS1,GIA
2,Oval,"$5,860",2.07,Very Good,E,VVS2,GIA
3,Oval,"$4,720",2.21,Very Good,G,VS2,GIA
4,Oval,"$3,220",1.50,Very Good,F,VVS2,GIA
5,Oval,"$14,430",3.00,Very Good,D,VVS2,GIA
6,Oval,"$4,380",2.02,Very Good,F,VS2,GIA
7,Oval,"$3,380",1.57,Very Good,E,VS1,GIA
8,Oval,"$3,980",2.12,Very Good,H,VS1,GIA
9,Oval,"$2,960",1.51,Very Good,E,VS2,GIA
10,Oval,"$5,860",2.01,Very Good,D,VS1,GIA
11,Oval,"$6,900",2.58,Very Good,G,VVS2,GIA
12,Oval,"$1,780",1.00,Very Good,D,VS2,GIA
13,Oval,"$2,790",1.55,Very Good,H,VVS1,GIA
14,Oval,"$3,020",1.52,Very Good,F,VS1,GIA
15,Oval,"$3,090",1.52,Very Good,F,VS1,GIA
16,Oval,"$3,160",1.51,Very Good,E,VS2,GIA
17,Oval,"$3,210",1.67,Very Good,F,VS2,GIA
18,Oval,"$3,260",1.64,Very Good,F,VS1,GIA
19,Oval,"$3,420",1.50,Very Good,D,VS1,GIA
20,Oval,"$3,420",1.74,Very Good,G,VS1,GIA
21,Oval,"$3,490",1.87,Very Good,G,VS2,GIA
22,Oval,"$3,490",1.50,Very Good,D,VS1,GIA
23,Oval,"$3,500",1.78,Very Good,G,VS1,GIA
24,Oval,"$3,530",1.70,Very Good,F,VS1,GIA
25,Oval,"$3,650",1.73,Very Good,G,VVS2,GIA
26,Oval,"$3,820",1.81,Very Good,F,VS1,GIA
27,Oval,"$3,910",1.95,Very Good,G,VS1,GIA
28,Oval,"$4,010",1.90,Very Good,G,VVS2,GIA
29,Oval,"$4,050",1.50,Very Good,E,VVS1,GIA
30,Oval,"$4,070",2.06,Very Good,H,VVS2,GIA
31,Oval,"$4,110",1.77,Very Good,F,VVS2,GIA
32,Oval,"$4,320",2.00,Very Good,G,VS1,GIA
33,Oval,"$4,340",2.00,Very Good,F,VS2,GIA
34,Oval,"$4,360",2.01,Very Good,F,VS2,GIA
35,Oval,"$4,380",2.02,Very Good,F,VS2,GIA
36,Oval,"$4,470",2.06,Very Good,F,VS2,GIA
37,Oval,"$4,530",2.00,Very Good,E,VS2,GIA
38,Oval,"$4,530",2.12,Very Good,G,VS2,GIA
39,Oval,"$4,570",2.12,Very Good,G,VS1,GIA
40,Oval,"$4,580",2.31,Very Good,H,VS1,GIA
41,Oval,"$4,600",2.32,Very Good,H,VS1,GIA
42,Oval,"$4,600",2.03,Very Good,E,VS2,GIA
