,Shape,Price,Carat,CutGrade,Color,Clarity,report
0,Pear,"$3,650",1.70,Very Good,F,VS1,GIA
1,Pear,"$4,340",2.01,Very Good,G,VS1,GIA
2,Pear,"$3,030",1.72,Very Good,G,VS2,GIA
3,Pear,"$3,220",1.50,Very Good,F,VVS2,GIA
4,Pear,"$2,380",1.57,Very Good,H,VS2,GIA
5,Pear,"$14,520",3.05,Very Good,D,VVS2,GIA
6,Pear,"$1,460",1.03,Very Good,F,VS2,GIA
7,Pear,"$1,670",1.02,Very Good,E,VS1,GIA
8,Pear,"$2,340",1.00,Very Good,D,VVS1,GIA
9,Pear,"$1,600",1.21,Very Good,H,VS1,GIA
10,Pear,"$1,750",1.01,Very Good,D,VS1,GIA
11,Pear,"$2,230",1.31,Very Good,G,VVS2,GIA
12,Pear,"$4,040",2.00,Very Good,H,VVS2,GIA
13,Pear,"$4,250",1.74,Very Good,D,VS2,GIA
14,Pear,"$4,420",2.28,Very Good,F,SI1,GIA
15,Pear,"$1,350",1.00,Very Good,G,VS2,GIA
16,Pear,"$1,670",1.02,Very Good,E,VS1,GIA
17,Pear,"$1,670",1.02,Very Good,E,VS1,GIA
18,Pear,"$1,740",1.00,Very Good,D,VS1,GIA
19,Pear,"$1,940",1.12,Very Good,D,VS1,GIA
20,Pear,"$2,290",1.51,Very Good,H,VS2,GIA
21,Pear,"$2,720",1.50,Very Good,F,VS2,GIA
22,Pear,"$2,970",1.50,Very Good,G,VVS2,GIA
23,Pear,"$3,010",1.51,Very Good,F,VS1,GIA
24,Pear,"$3,050",1.54,Very Good,G,VVS2,GIA
25,Pear,"$3,220",1.50,Very Good,F,VVS2,GIA
26,Pear,"$3,220",1.50,Very Good,F,VVS2,GIA
27,Pear,"$3,240",1.50,Very Good,F,VVS2,GIA
28,Pear,"$3,320",1.92,Very Good,H,VS1,GIA
29,Pear,"$3,370",1.55,Very Good,E,VS1,GIA
30,Pear,"$3,480",2.02,Very Good,E,SI2,GIA
31,Pear,"$3,570",2.01,Very Good,H,VS1,GIA
32,Pear,"$3,790",1.58,Very Good,D,VS1,GIA
33,Pear,"$3,840",1.76,Very Good,F,VS1,GIA
34,Pear,"$3,840",1.64,Very Good,G,VVS2,GIA
35,Pear,"$3,860",2.20,Very Good,H,VS1,GIA
36,Pear,"$3,910",2.23,Very Good,H,VS1,GIA
37,Pear,"$3,930",2.01,Very Good,D,SI2,GIA
38,Pear,"$4,070",1.90,Very Good,G,VVS2,GIA
39,Pear,"$4,150",2.00,Very Good,G,VS2,GIA
40,Pear,"$4,360",2.05,Very Good,F,VS2,GIA
41,Pear,"$4,380",2.11,Very Good,G,VS2,GIA
42,Pear,"$4,650",2.01,Very Good,G,VVS2,GIA
43,Pear,"$4,890",2.07,Very Good,F,VS1,GIA
44,Pear,"$5,170",2.30,Very Good,G,VS1,GIA
45,Pear,"$5,220",2.00,Very Good,E,VS1,GIA
46,Pear,"$5,470",2.02,Very Good,F,VVS2,GIA
47,Pear,"$5,610",2.67,Very Good,H,VVS2,GIA
48,Pear,"$5,730",2.30,Very Good,F,VS1,GIA
49,Pear,"$7,080",2.51,Very Good,G,VVS2,GIA
50,Pear,"$12,440",3.21,Very Good,E,VS1,GIA
51,Pear,"$13,270",4.02,Very Good,H,VVS2,GIA
52,Pear,"$18,700",3.54,Very Good,D,VVS2,GIA
