,Shape,Price,Carat,CutGrade,Color,Clarity,report
0,Radiant,"$4,960",2.07,Very Good,F,VS1,GIA
1,Radiant,"$1,500",1.00,Very Good,G,VS1,GIA
2,Radiant,"$7,420",2.42,Very Good,E,VVS2,GIA
3,Radiant,"$2,550",1.50,Very Good,G,VS2,GIA
4,Radiant,"$3,390",1.58,Very Good,F,VVS2,GIA
5,Radiant,"$2,370",1.55,Very Good,H,VS2,GIA
6,Radiant,"$2,890",1.24,Very Good,D,VVS2,GIA
7,Radiant,"$3,000",1.62,Very Good,F,VS2,GIA
8,Radiant,"$5,720",2.21,Very Good,E,VS1,GIA
9,Radiant,"$5,960",1.72,Very Good,D,VVS1,GIA
10,Radiant,"$2,550",1.56,Very Good,H,VS1,GIA
11,Radiant,"$5,470",1.76,Very Good,E,VVS1,GIA
12,Radiant,"$1,600",1.02,Very Good,E,VS2,GIA
13,Radiant,"$1,980",1.06,Very Good,F,VVS1,GIA
14,Radiant,"$4,710",1.83,Very Good,D,VS1,GIA
15,Radiant,"$2,990",1.51,Very Good,G,VVS2,GIA
16,Radiant,"$2,830",1.66,Very Good,H,VVS2,GIA
17,Radiant,"$3,360",1.50,Very Good,D,VS2,GIA
18,Radiant,"$6,910",3.06,Very Good,G,SI1,GIA
19,Radiant,"$6,220",3.03,Very Good,I,VS1,GIA
20,Radiant,"$2,740",1.80,Very Good,H,SI1,GIA
21,Radiant,"$2,270",1.52,Very Good,I,VVS2,GIA
22,Radiant,"$1,290",1.02,Very Good,F,SI1,GIA
23,Radiant,"$1,880",1.53,Very Good,J,VS1,GIA
24,Radiant,"$1,070",0.90,Very Good,F,SI1,GIA
25,Radiant,"$1,570",1.12,Very Good,H,VVS2,GIA
26,Radiant,"$1,590",1.01,Very Good,F,VS1,GIA
27,Radiant,"$1,590",1.06,Very Good,G,VS1,GIA
28,Radiant,"$1,630",1.12,Very Good,D,SI1,GIA
29,Radiant,"$1,680",1.03,Very Good,E,VS1,GIA
30,Radiant,"$1,770",1.03,Very Good,D,VS2,GIA
31,Radiant,"$1,790",1.03,Very Good,D,VS1,GIA
32,Radiant,"$1,790",1.14,Very Good,F,VS1,GIA
33,Radiant,"$1,810",1.07,Very Good,G,VVS1,GIA
34,Radiant,"$1,810",1.21,Very Good,G,VS1,GIA
